Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34517346,"City of Endless Night (Pendergast, #17)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""""","=""""",4,4.08,Grand Central Publishing,Kindle Edition,416,2018,2018,2018/08/14,2018/01/03,,,read,"17 книга серії. <br/>Це найтриваліша серія книг про одного персонажа, що я читав. <br/>Наскільки б поганими чи хорошими ці книги не були, але пізнавати світ Пендергаста, історію його родини, протистояння з рідним братом, я не залишу.<br/>Це як шукати краплинки золота серед тонн піску - чим більше його знайдеш, тим красивіший вийде виріб. <br/><br/>Місто нескінченної ночі - міцна 4.<br/>Стара формула письменників працює відмінно - на вході маємо загадкові вбивства, багатий персонаж, що не хоче співпрацювати, надокучливий журналіст, релігійний протест і, звичайно, тандем Пендергаста та д'Агости, на виході -- дещо похмурий роман, що з кожним новим розділом заставляє лише гадати хто ж вбивця.",,,1,0
38891545,Франческа. Повелителька траєкторій,Dorje Batuu,"Batuu, Dorje","Дорж Бату, Олександр Ком’яхов","=""6176794854""","=""9786176794851""",5,4.38,Видавництво Старого Лева ,Hardcover,304,2018,2018,2018/08/05,2018/08/05,,,read,,,,1,0
37787232,Аляска,Сергій Бут,"Бут, Сергій",,"=""6171242993""","=""9786171242999""",4,3.45,Книжковий Клуб «Клуб Сімейного Дозвілля»,Hardcover,208,2018,,2018/07/15,2018/07/15,,,read,,,,1,0
11729590,Тигролови,Ivan Bahrianyi,"Bahrianyi, Ivan",Іван Багряний,"=""9666727722""","=""9789666727728""",5,4.62,Ранок,Hardcover,256,,1944,,2018/01/12,,,read,,,,1,0
10039557,Тореадори з Васюківки (Тореадори з Васюківки #1-3),Vsevolod Nestaiko,"Nestaiko, Vsevolod","Всеволод Нестайко, Анатолій Василенко","=""966704744X""","=""9789667047443""",5,4.66,А-БА-БА-ГА-ЛА-МА-ГА,Hardcover,544,2004,1970,,2018/01/12,,,read,,,,1,0
29246616,"The Obsidian Chamber (Pendergast, #16)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""1455541672""","=""9781455541676""",4,3.99,Grand Central Publishing,Hardcover,560,2016,2016,2018/01/07,2018/01/03,,,read,,,,1,0
25481524,The Border,Robert McCammon,"McCammon, Robert",,"=""""","=""""",0,3.92,Subterranean Press,Kindle Edition,456,2015,2015,,2018/01/03,to-read,to-read (#3),to-read,,,,0,0
25614598,"Crimson Shore (Pendergast, #15)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""1455525928""","=""9781455525928""",4,4.03,Grand Central Publishing,Hardcover,339,2015,2015,,2018/01/03,,,read,,,,1,0
20980959,"Blue Labyrinth (Pendergast, #14)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""1455525898""","=""9781455525898""",4,4.13,Grand Central Publishing,Hardcover,403,2014,2014,,2018/01/03,,,read,,,,1,0
17159011,"White Fire (Pendergast, #13)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""1455525839""","=""9781455525836""",4,4.12,Grand Central Publishing,Hardcover,368,2013,2013,,2018/01/03,,,read,,,,1,0
15789985,"Extraction (Pendergast, #12.5)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""1455528080""","=""9781455528080""",4,3.99,Grand Central Publishing,Kindle Edition,22,2012,2012,,2018/01/03,,,read,,,,1,0
14889780,"Two Graves (Pendergast, #12)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446554995""","=""9780446554992""",5,4.07,Grand Central Publishing,Hardcover,484,2012,2012,,2018/01/03,,,read,,,,1,0
9489502,"Cold Vengeance (Pendergast, #11)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""1455500135""","=""9781455500130""",4,4.11,Grand Central Publishing,Hardcover,560,2011,2011,,2018/01/03,,,read,,,,1,0
7122034,"Fever Dream (Pendergast, #10)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446554960""","=""9780446554961""",4,4.13,Grand Central Publishing,Hardcover,405,2010,2010,,2018/01/03,,,read,,,,1,0
2197227,"Cemetery Dance (Pendergast, #9)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446580295""","=""9780446580298""",4,4.04,Grand Central Publishing,Hardcover,435,2009,2009,,2018/01/03,,,read,,,,1,0
39028,"The Wheel of Darkness (Pendergast, #8)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446580287""","=""9780446580281""",4,3.97,Warner Books,Hardcover,388,2007,2007,,2018/01/03,,,read,,,,1,0
7670,"The Andromeda Strain (Andromeda, #1)",Michael Crichton,"Crichton, Michael",,"=""0060541814""","=""9780060541811""",4,3.91,Avon,Mass Market Paperback,327,2003,1969,,2017/07/02,,,read,,,,1,0
31287693,Dragon Teeth,Michael Crichton,"Crichton, Michael",,"=""0008173060""","=""9780008173067""",0,3.86,HarperCollins Publishers,Paperback,295,2017,2017,,2017/07/02,to-read,to-read (#1),to-read,,,,0,0
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,"=""1594744769""","=""9781594744761""",4,3.92,Quirk,Hardcover,352,2011,2011,,2017/07/02,,,read,,,,1,0
